service,parent,microservice,a,b,latency_target,container,type,workload,inflection,merged_a,merged_b
Recommendation,,frontend,2e-05,0.0,26.00624947779378,1,after,120000,-0.0,14794.8742154678,-425153.5634146213
Recommendation,frontend,frontend,2e-05,0.0,26.006249477793776,1,after,120000,-0.0,603.1408608512885,-83661.96560325427
Recommendation,frontend,recommendation,602.8302522753444,-83661.96560325427,17297.082721370316,359,after,60000,139.1868940454177,602.8302522753444,-83661.96560325427
Recommendation,frontend,frontend,2e-05,0.0,26.006249477793776,1,after,120000,-0.0,4711.188690975131,-341491.597811367
Recommendation,frontend,profile,4710.574793150599,-341491.597811367,57624.8985301964,1417,after,120000,72.63814069145764,4710.574793150599,-341491.597811367
Search,,frontend,2e-05,0.0,8.24837577655423,1,after,60000,-0.0,44828.430624209745,-190508.24509344867
Search,frontend,frontend,2e-05,0.0,8.24837577655423,1,after,60000,-0.0,25812.83886025743,-135943.90441076976
Search,frontend,search,2312.032863452123,-42925.86281369197,45759.19261036148,1565,after,60000,37.09050582329976,25811.40186003877,-135943.90441076976
Search,search,search,2312.032863452123,-42925.86281369197,45759.19261036148,1565,after,60000,37.09050582329976,4031.242553266781,-49521.685056050796
Search,search,geo,237.42076279880172,-6595.822242358826,21823.439264793018,502,before,60000,62.78085054180577,237.42076279880172,-6595.822242358826
Search,search,search,2312.032863452123,-42925.86281369197,45759.19261036148,1565,after,60000,37.09050582329976,2409.200069160766,-43496.35654102699
Search,search,rate,1.0,-570.4937273350137,1273.8991666987736,33,before,60000,58.23633571581277,1.0,-570.4937273350137
Search,frontend,frontend,2e-05,0.0,8.248375776554228,1,after,60000,-0.0,2323.808585618556,-54650.68531034283
Search,frontend,reservation,2323.3774389606974,-54650.68531034283,34251.68172247526,1569,after,60000,24.18623312874376,2323.3774389606974,-54650.68531034283
Search,frontend,frontend,2e-05,0.0,8.24837577655423,1,after,60000,-0.0,8.140411319367281,86.34462766389082
Search,frontend,profile,8.114912053986998,86.34462766389082,5340.408511842259,93,before,60000,72.63814069145764,8.114912053986998,86.34462766389082
